train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
2.4903951758313974,2.1730098652839662,12.248,15.97,0.016213932915416826,-0.31738531054743113,
1.9966298329555774,1.9232470393180847,21.204,26.39,0.01192851322691154,-0.07338279363749267,
1.7856530737693963,1.644704169034958,29.71,36.88,0.012097520291652826,-0.14094890473443833,
1.5330009670818554,1.5498315370082856,41.398,42.21,0.012064103885075015,0.016830569926430172,
1.311608999281588,1.53500239610672,52.138,48.51,0.012071174124012823,0.22339339682513204,
1.097445955209415,1.3273183757066727,60.756,55.22,0.011736572246112482,0.22987242049725776,
0.9604573783362308,1.1156935560703278,66.42,62.46,0.012062650812251488,0.15523617773409704,
0.8747885725687227,1.0449098044633864,70.45,66.04,0.01209495134670716,0.17012123189466377,
0.8104019261077237,1.352577657699585,73.156,62.28,0.01173201058526783,0.5421757315918613,
0.7594171972835765,0.9640965294837952,75.464,69.87,0.011852447334152963,0.20467933220021872,
0.7048838788743519,0.8526627576351166,77.186,73.45,0.011981846426454041,0.14777887876076468,
0.6727603998635431,0.7193977278470993,78.302,76.7,0.011565466975921866,0.04663732798355624,
0.63648493614648,0.9570470011234283,79.106,70.44,0.01202931245574561,0.3205620649769483,
0.6155561111162385,0.9630291420221329,80.092,70.86,0.011862381035104737,0.3474730309058943,
0.6007437343182771,0.8286123728752136,80.586,74.91,0.012127478714184382,0.2278686385569365,
0.5896038273563775,0.7767293310165405,81.028,76.03,0.011461809163203324,0.187125503660163,
0.5686254621771596,0.8634619468450546,81.774,75.0,0.011578664755272439,0.294836484667895,
0.5542932241164205,0.6068833285570144,82.04,79.87,0.011715313967536478,0.05259010444059398,
0.5462549582619192,0.7999213823676109,82.568,75.53,0.012278214744899584,0.25366642410569173,
0.5293635636796732,0.6901325336098671,82.916,77.96,0.011493262732425309,0.16076896993019396,
0.5161438443319267,0.5990249559283256,83.302,80.03,0.011868659797531869,0.08288111159639888,
0.5124406688048712,0.6050132250785828,83.476,80.69,0.011769448399848646,0.09257255627371164,
0.5014978408661035,1.0332226932048798,83.904,72.5,0.011567231639266928,0.5317248523387763,
0.4961817315624803,0.7657167771458626,83.988,75.49,0.011366586855915196,0.2695350455833823,
0.49016226363151577,0.8061807405948639,84.242,75.77,0.011948248309552517,0.3160184769633481,
0.48685693740844727,0.8397342985868455,84.252,74.69,0.012004036427763721,0.3528773611783982,
0.48086318876737216,0.5419359993934632,84.624,83.05,0.012111047954510545,0.06107281062609099,
0.45717910305618326,0.5734613293409347,85.376,81.96,0.01210073497899048,0.11628222628475149,
0.45252848536614565,0.6765396174788475,85.438,78.64,0.01205241710633573,0.22401113211270185,
0.4513782363413545,0.51501724421978,85.47,83.03,0.01195900275579194,0.06363900787842552,
0.43759516270264337,0.775055681169033,86.062,76.47,0.01192663758612045,0.33746051846638964,
0.4380746026478155,0.703640322983265,85.962,78.65,0.011725898898775925,0.26556572033544945,
0.42735828847988794,0.8384998708963394,86.362,74.67,0.011968946213002705,0.41114158241645143,
0.42715615460939726,0.734026491343975,86.498,77.97,0.011653796486232592,0.30687033673457775,
0.41586978329569485,0.585459603369236,86.66,81.99,0.011621430097028727,0.16958982007354112,
0.41221951920053235,0.6410764342546463,86.65,81.02,0.011743721144888407,0.22885691505411399,
0.4062761267280335,0.7852203926444054,86.754,78.51,0.011838495883795307,0.37894426591637187,
0.393324051900288,0.5003385162353515,87.488,84.05,0.012000422343573607,0.10701446433506351,
0.3911694283680538,0.5496348324418068,87.472,82.36,0.011384255440948565,0.15846540407375298,
0.38607913530086313,0.7196611469984054,87.706,78.56,0.011922213122667865,0.3335820116975423,
0.37093722496343695,0.5866386958956719,88.122,82.0,0.011779363198048624,0.2157014709322349,
0.37696225960236374,0.6383486001193523,87.816,80.46,0.01215885545286681,0.2613863405169886,
