train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
1.8859953502255022,1.941060254573822,24.534,31.92,0.011706526017250002,0.05506490434831979,
1.5890639721585051,2.353861813545227,37.778,24.79,0.011795040896481566,0.7647978413867218,
1.213017930155215,1.5565809524059295,55.764,47.76,0.01186496217537414,0.34356302225071444,
0.9897050541989943,1.028516129255295,64.39,64.81,0.011595316860072143,0.03881107505630055,
0.8609391498138838,0.8522873878479004,70.164,71.23,0.011740658899097492,-0.008651761965983384,
0.7565268232389484,0.9016677886247635,74.688,70.17,0.012137030091736932,0.1451409653858151,
0.6762929251584251,0.7511805084347725,77.624,75.92,0.011464832383958274,0.07488758327634737,
0.6156069923697225,0.6716584441065788,79.638,78.09,0.011716374960701789,0.05605145173685633,
0.5646393625327694,0.7453726547956466,81.218,77.36,0.01182333465732272,0.18073329226287727,
0.5265044069198697,0.54917539447546,82.566,81.97,0.011949523940415638,0.022670987555590383,
0.5019542340122526,0.6760256397724151,83.602,77.87,0.011668658927273567,0.17407140576016256,
0.47478437427517095,0.683466048836708,84.462,78.46,0.0119139062779029,0.20868167456153708,
0.4486587004893271,0.4733702236413956,85.546,84.26,0.012050578051515857,0.024711523152068482,
0.429785578071004,0.5322460335493088,86.004,82.96,0.011775030809290269,0.10246045547830479,
0.4125144785398717,0.4833803990483284,86.684,84.12,0.011546383123568562,0.07086592050845669,
0.39566457877531075,0.46643686562776565,87.126,85.06,0.011683398805310965,0.0707722868524549,
0.3806954993844947,0.4648056547343731,87.63,85.41,0.01181275033584946,0.08411015534987837,
0.3671170160593584,0.45385453805327414,88.266,85.53,0.011687048255939922,0.08673752199391571,
0.3613575515158646,0.6983174255490303,88.342,79.78,0.011323511143169745,0.33695987403316574,
0.3483970891636656,0.4680814401805401,88.726,85.72,0.011580848327987944,0.11968435101687452,
0.33563514362515695,0.48173209339380263,89.024,84.8,0.012111252226183176,0.14609694976864568,
0.3259065264021344,0.42871797874569895,89.384,86.61,0.011723594592355401,0.10281145234356454,
0.31721063164036595,0.4784070546925068,89.644,84.89,0.011472260555647828,0.16119642305214082,
0.31550347397242057,0.39417625069618223,89.8,87.72,0.011939421943996264,0.07867277672376166,
0.2976258125184747,0.41263732090592387,90.35,87.37,0.0117279903967972,0.11501150838744917,
0.2925965471188431,0.4164982959628105,90.51,87.04,0.011695596568114922,0.12390174884396743,
0.2878545431987099,0.4169167406857014,90.554,87.09,0.011610723822318075,0.1290621974869915,
0.277489907067755,0.39897881299257276,90.942,87.39,0.011960206434245,0.12148890592481776,
0.2722065878265044,0.4029316551983356,91.19,87.86,0.011938592052215811,0.1307250673718312,
0.26912836751440905,0.3899023035168648,91.17,87.69,0.011744046760032245,0.12077393600245573,
0.25713883710029484,0.4217457151412964,91.65,86.94,0.011532063984200168,0.16460687804100155,
0.25285010476170294,0.3851161788403988,91.768,88.21,0.011515336268393279,0.13226607407869584,
0.24981079726953945,0.40468116000294685,91.784,87.49,0.011869737864150416,0.1548703627334074,
0.241458200204098,0.3753146517276764,92.02,88.58,0.011549397197830708,0.13385645152357842,
0.23986556990753355,0.37822009399533274,92.3,88.35,0.011581588584138915,0.1383545240877992,
0.23102421479304427,0.4119869640469551,92.514,87.2,0.011831889067159589,0.18096274925391084,
0.22426595891375675,0.3922534170746803,92.634,88.07,0.011526248034308939,0.16798745816092356,
0.21853783595211365,0.4336289817094803,92.786,86.8,0.011479486894729498,0.21509114575736663,
0.2122541198416439,0.3977486403286457,93.09,87.95,0.011959094830486171,0.1854945204870018,
0.2142493499018957,0.3631834860891104,93.0,88.64,0.012180772278924732,0.14893413618721468,
0.20128867407436565,0.35076316237449645,93.482,89.24,0.011704504642340229,0.1494744883001308,
0.19899854077326368,0.3800950354337692,93.512,88.67,0.01187877886740448,0.18109649466050554,
0.19302587510298586,0.365455883294344,93.78,88.94,0.01204955059549083,0.17243000819135812,
0.18722689022188602,0.37778901115059854,93.988,88.93,0.011535251841825597,0.19056212092871253,
0.1833667119826807,0.38313691012561324,94.082,88.62,0.01184238314323718,0.19977019814293254,
0.17737781389823656,0.3979809111356735,94.142,88.13,0.011886897904183858,0.22060309723743696,
0.17242982940714988,0.3772259511053562,94.372,89.05,0.011391617757889926,0.20479612169820635,
0.16943137580171572,0.3510115510225296,94.432,89.41,0.011484504660681995,0.1815801752208139,
0.16177737946286225,0.3707900992035866,94.696,89.28,0.011987325175643881,0.20901271974072433,
0.15445794091771936,0.34770516455173495,94.964,90.18,0.01203071064961231,0.19324722363401559,
0.15240446179914657,0.36546989366412164,94.954,89.48,0.011983069617425084,0.21306543186497506,
0.1450504901273476,0.36654136136174204,95.318,89.44,0.011592223516205693,0.22149087123439443,
0.1393751399615384,0.36792996756732466,95.456,89.68,0.01146246832045143,0.22855482760578624,
0.1363808329424361,0.33205880284309386,95.55,90.36,0.012130266565191167,0.19567796990065775,
0.13110117190767584,0.3556887404620647,95.746,90.04,0.011828299373616952,0.22458756855438888,
0.12513661392204598,0.3921656619012356,95.966,88.93,0.01189945420950575,0.2670290479791896,
0.11613262127465604,0.36085781395435335,96.214,90.32,0.01141558644716697,0.2447251926796973,
0.11246757291714705,0.3560566519200802,96.344,90.12,0.011958315549299235,0.24358907900293314,
0.11261394412240104,0.3645841136574745,96.264,90.06,0.012159522537075345,0.25197016953507345,
0.10654836442426342,0.3803203812241554,96.51,90.07,0.01202205806741934,0.273772016799892,
0.0991850832663,0.3769560466706753,96.728,89.66,0.011787855411734422,0.2777709634043753,
0.09623866854592815,0.37892714872956273,96.908,90.05,0.011692227609931966,0.28268848018363457,
0.0911082259386473,0.3536031360924244,97.064,90.26,0.011790336550349164,0.2624949101537771,
0.08697753641611475,0.34788528479635716,97.2,90.72,0.011968751697589064,0.26090774838024244,
0.0825076418764451,0.3720220105350018,97.36,90.32,0.011677277362560067,0.2895143686585567,
0.08006918153789876,0.34801360726356506,97.41,90.86,0.011856843138594761,0.2679444257256663,
0.06983653186103496,0.3564484894275665,97.728,90.63,0.011526793165280082,0.28661195756653157,
0.0687831918663724,0.3647479429841042,97.778,90.56,0.011789323118946437,0.2959647511177318,
0.06428870389147488,0.36921474397182463,97.936,90.68,0.011845300264675599,0.30492604008034974,
0.06475693501932236,0.3541854885965586,97.924,91.27,0.011757660399922324,0.2894285535772362,
0.05913449973082337,0.33840252183377745,98.07,91.46,0.011949708699570287,0.2792680221029541,
0.053090266892900854,0.3727451882511377,98.282,90.91,0.011977468305231664,0.31965492135823687,
0.052988590654747945,0.3487552011758089,98.32,91.21,0.011906613474306852,0.29576661052106096,
0.04568388888164592,0.3536279754340649,98.528,91.58,0.011642267027169542,0.30794408655241895,
0.04182831699962316,0.35913263708353044,98.622,91.19,0.012034103388676559,0.3173043200839073,
0.038774131933022336,0.36815854780375956,98.776,91.44,0.011949434914552342,0.32938441587073725,
0.03858132397546373,0.3598425191640854,98.756,91.65,0.011567076758655441,0.3212611951886217,
0.033378296591879804,0.36210681397467853,98.926,91.65,0.011646217092528673,0.32872851738279874,
0.03326851115300013,0.3665620249509811,98.95,91.73,0.01182836400883277,0.333293513797981,
0.027961650688815717,0.3669382322952151,99.106,91.56,0.011667903426967923,0.3389765816063994,
0.02777594862424809,0.35405169881880283,99.13,91.99,0.011653151353606787,0.32627575019455474,
