train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
2.330940829213623,1.766660873889923,23.43,32.41,0.012818593808147304,-0.5642799553237001,
1.6562791577995282,1.5170158350467682,38.546,44.5,0.012111140029204775,-0.13926332275276,
1.4636223697296493,1.4637551033496856,46.096,48.07,0.011967339479100064,0.00013273362003629607,
1.2916251802078598,1.3066125464439393,53.064,54.12,0.01237660905589228,0.014987366236079547,
1.1258725905052536,1.1727969878911972,59.844,58.55,0.011888033898590167,0.04692439738594367,
0.9612247943878174,0.8625111067295075,66.068,69.68,0.01200271079607327,-0.0987136876583099,
0.8112606479383796,0.8607377475500106,71.73,70.03,0.01163912002387864,0.04947709961163105,
0.6989592316053103,0.8504952383041382,75.634,71.47,0.012026269722472676,0.15153600669882794,
0.6335953658499072,0.7188329511880874,77.93,75.63,0.01200878955519108,0.08523758533818027,
0.5865564988092389,0.7309475648403168,79.672,75.64,0.011275921331342224,0.14439106603107787,
0.5532678816172169,0.6615571537613869,80.918,77.72,0.011797743380222174,0.10828927214417006,
0.5285714087278947,0.5694888719916343,81.812,80.38,0.011771247210100179,0.040917463263739684,
0.5067922115478369,0.553028439283371,82.596,81.36,0.012055160444410866,0.04623622773553404,
0.49304355052121157,0.6671946400403976,82.914,77.3,0.011824765778563517,0.17415108951918606,
0.4699047830556055,0.5883316099643707,83.814,79.77,0.011757764669940295,0.11842682690876521,
0.4568317188021472,0.5573374456167222,84.388,81.29,0.0117174079046225,0.10050572681457498,
0.4405292059911791,0.5570985588431359,84.99,81.34,0.011847750305214805,0.11656935285195674,
0.43206183539936915,0.6076072564721108,85.306,80.78,0.011760545203752835,0.17554542107274163,
0.42495234710786045,0.6680548810958862,85.542,77.58,0.012028952693695303,0.24310253398802573,
0.40908300270662284,0.6516713067889214,86.134,78.82,0.012121307880372342,0.24258830408229853,
0.4045749383280649,0.5687377390265465,86.234,81.6,0.01165393734222178,0.16416280069848155,
0.3949945239383546,0.6414306560158729,86.394,79.03,0.011703044252322457,0.2464361320775183,
0.3849595128499029,0.6122159132361412,86.9,80.47,0.011492480402407438,0.22725640038623834,
0.38074660106845526,0.46732446387410165,86.95,84.22,0.01161143907805538,0.08657786280564639,
0.36982734874843637,0.6543105360865593,87.378,79.0,0.011497518290644106,0.28448318733812294,
0.3654589849664732,0.44151607260107995,87.396,85.62,0.011463301261062818,0.07605708763460672,
0.35625307277187973,0.4552786348760128,87.896,84.7,0.012028739275529866,0.09902556210413305,
0.3504858851966346,0.6058876305818558,87.938,80.94,0.011785754767220344,0.2554017453852212,
0.3453383812361666,0.4106710594892502,88.194,86.68,0.011704405860217941,0.06533267825308359,
0.33372984689367396,0.45832117930054667,88.74,84.72,0.011840069080557665,0.1245913324068727,
0.33101982949182507,0.5100303983688355,88.682,82.83,0.01191628558556442,0.1790105688770104,
0.32406687805109924,0.4557011905312538,88.886,85.14,0.011909820234684078,0.13163431248015456,
0.32119325550315936,0.5499100869894028,89.018,81.63,0.011869917135409382,0.22871683148624344,
0.3143945836731235,0.5015221047401428,89.35,83.61,0.011436567891894095,0.1871275210670193,
0.30703269459707355,0.3977555838227272,89.454,86.71,0.011941141484643493,0.09072288922565364,
0.30071017149921575,0.5095595061779022,89.68,83.82,0.011456067604786905,0.2088493346786865,
