train_loss,test_loss,train_acc,test_acc,step_time,gap,sat_ratio
,,10.058,10.0,0.01196238329953245,,
,,10.0,10.0,0.011743026621201458,,
,,10.0,10.0,0.011704174149066895,,
,,10.0,10.0,0.011673681571355562,,
,,10.0,10.0,0.011766182492151285,,
,,10.0,10.0,0.01159224607755461,,
,,10.0,10.0,0.011690690389374639,,
,,10.0,10.0,0.011552896036211487,,
,,10.0,10.0,0.011837101348525728,,
,,10.0,10.0,0.011790914608694403,,
,,10.0,10.0,0.01158706001613451,,
,,10.0,10.0,0.011923703391228795,,
,,10.0,10.0,0.011632274178897633,,
,,10.0,10.0,0.012068800304246985,,
,,10.0,10.0,0.011669843093208645,,
,,10.0,10.0,0.011816876623636622,,
,,10.0,10.0,0.011858919392461363,,
,,10.0,10.0,0.011777891832239488,,
,,10.0,10.0,0.011886972905424854,,
,,10.0,10.0,0.011916900229880878,,
,,10.0,10.0,0.011482925976023954,,
,,10.0,10.0,0.011984177562586792,,
,,10.0,10.0,0.011879000212530346,,
,,10.0,10.0,0.012176292326749133,,
,,10.0,10.0,0.012098458112048372,,
,,10.0,10.0,0.011859410254241864,,
,,10.0,10.0,0.011496920110014698,,
,,10.0,10.0,0.011882258193267275,,
,,10.0,10.0,0.012118761496775595,,
,,10.0,10.0,0.011813999137000354,,
,,10.0,10.0,0.011633500418699611,,
,,10.0,10.0,0.01213269709321239,,
,,10.0,10.0,0.01170451013023591,,
,,10.0,10.0,0.011950075169048651,,
,,10.0,10.0,0.011772636257474075,,
,,10.0,10.0,0.011809023444914756,,
,,10.0,10.0,0.011843917924729759,,
,,10.0,10.0,0.011782097389630954,,
,,10.0,10.0,0.011928442494033853,,
,,10.0,10.0,0.012119012110678435,,
,,10.0,10.0,0.011679268249160494,,
,,10.0,10.0,0.01155551559175067,,
,,10.0,10.0,0.011808133796047981,,
,,10.0,10.0,0.011910102556428642,,
,,10.0,10.0,0.011658185583246333,,
,,10.0,10.0,0.011514006368339519,,
,,10.0,10.0,0.011453995619283612,,
,,10.0,10.0,0.011842279482985397,,
,,10.0,10.0,0.011882131361900389,,
,,10.0,10.0,0.01185335893460247,,
,,10.0,10.0,0.012040541300078486,,
,,10.0,10.0,0.011869545787801522,,
,,10.0,10.0,0.011635116908861242,,
,,10.0,10.0,0.011655761762653165,,
,,10.0,10.0,0.01138108282747781,,
,,10.0,10.0,0.012384746995423456,,
,,10.0,10.0,0.01188905037882383,,
,,10.0,10.0,0.011651879991106975,,
,,10.0,10.0,0.012985722183266563,,
,,10.0,10.0,0.011736457610069334,,
,,10.0,10.0,0.011697303913438411,,
,,10.0,10.0,0.011444568024267016,,
,,10.0,10.0,0.011541316576321107,,
,,10.0,10.0,0.011785520007238363,,
,,10.0,10.0,0.012120656040318482,,
,,10.0,10.0,0.011703898534750389,,
,,10.0,10.0,0.011329624049194024,,
,,10.0,10.0,0.011732230101095135,,
,,10.0,10.0,0.011808860027576652,,
,,10.0,10.0,0.011456040775074679,,
,,10.0,10.0,0.011822144393725774,,
,,10.0,10.0,0.012049986578314506,,
,,10.0,10.0,0.01213095011308675,,
,,10.0,10.0,0.011875053805768337,,
,,10.0,10.0,0.011822766355236472,,
,,10.0,10.0,0.011992614287549577,,
,,10.0,10.0,0.011570608524410317,,
,,10.0,10.0,0.011974214592858044,,
,,10.0,10.0,0.011807910621623554,,
,,10.0,10.0,0.012163495163783393,,
,,10.0,10.0,0.012062365441675991,,
,,10.0,10.0,0.011832999451386045,,
,,10.0,10.0,0.011826846910559612,,
,,10.0,10.0,0.01165744776616011,,
,,10.0,10.0,0.011895291945513557,,
,,10.0,10.0,0.011735514301778105,,
,,10.0,10.0,0.01163962917864475,,
,,10.0,10.0,0.011697409402988756,,
,,10.0,10.0,0.011782551055674053,,
,,10.0,10.0,0.011564415129249358,,
,,10.0,10.0,0.011661689299756608,,
,,10.0,10.0,0.011540990961177269,,
,,10.0,10.0,0.01177773268326469,,
,,10.0,10.0,0.012922654066549237,,
,,10.0,10.0,0.011897126122203934,,
,,10.0,10.0,0.011797896431535101,,
,,10.0,10.0,0.011814234506748521,,
,,10.0,10.0,0.011981336052155556,,
,,10.0,10.0,0.011815543674751926,,
,,10.0,10.0,0.01176047020251184,,
